program_type,additional_param,relative_time
MPI,10k,65.90632778667435
MPI,50k,76.60399321637293
OpenMP,"auto,0",53.94606695154224
OpenMP,"auto,10k",52.34259410264205
OpenMP,"auto,200k",53.589724575598844
OpenMP,"dynamic,0",66.88655829252454
OpenMP,"dynamic,10k",36.407034221400856
OpenMP,"dynamic,200k",42.09154971999594
OpenMP,"static,0",59.79356573764104
OpenMP,"static,10k",33.858513886623754
OpenMP,"static,200k",41.81929423001436
