program_type,additional_param,relative_time
MPI,10k,134.96577790689557
MPI,50k,136.77770307095778
OpenMP,"auto,0",104.12139137609466
OpenMP,"auto,10k",102.70082664626838
OpenMP,"auto,200k",102.07532736837196
OpenMP,"dynamic,0",100.0
OpenMP,"dynamic,10k",62.475218174507674
OpenMP,"dynamic,200k",60.702446731400144
OpenMP,"static,0",103.82732562632191
OpenMP,"static,10k",60.4855292962956
OpenMP,"static,200k",60.960762302584776
